ch,name,type,unit,min,Q1,median,Q3,max
231,MEG1942,grad,T/m,-0.0002882717207062083,-5.376434313622254e-12,-1.9912719680082423e-13,4.978179920020606e-12,0.00039619427221058317
232,MEG1943,grad,T/m,-0.0002998430210293879,-6.172943100825551e-12,-1.9912719680082423e-13,5.973815904024727e-12,0.0003561333316859595
233,MEG2011,mag,T,-4.680620817139064e-06,-6.367301936237719e-13,1.1922836294947124e-13,9.36069487837338e-13,4.061620631970889e-06
234,MEG2012,grad,T/m,-0.0002502065179752355,-4.978179920020606e-12,0.0,4.978179920020606e-12,0.0004001391910627641
235,MEG2013,grad,T/m,-0.00041283731754450734,-4.7790527232197816e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.0003755327932503271
236,MEG2021,mag,T,-5.053397045769782e-06,-6.088256831462361e-13,1.0654449455059132e-13,8.929443352811463e-13,5.010326654547015e-06
237,MEG2022,grad,T/m,-0.0002686888036536825,-5.17730711682143e-12,0.0,5.17730711682143e-12,0.00037816535057221565
238,MEG2023,grad,T/m,-0.0003763900210971421,-4.7790527232197816e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.0002684724091420111
239,MEG2031,mag,T,-4.122690594294011e-06,-6.823921198597396e-13,5.327224727529566e-14,8.523559564047305e-13,5.1821222116526415e-06
240,MEG2032,grad,T/m,-0.00041342360974132,-5.5755615104230785e-12,0.0,5.774688707223903e-12,0.00020467849784835227
241,MEG2033,grad,T/m,-0.00041122812904957574,-5.376434313622254e-12,1.9912719680082423e-13,5.774688707223903e-12,0.000265999699783464
242,MEG2041,mag,T,-4.981352041607497e-06,-7.305908197754833e-13,5.834579463484763e-14,9.132385247193541e-13,4.1588990888161935e-06
