,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1842,2.7012134436538217e-24,1.9910140975995963e-24,1.9816546691148095e-24,3.6118075838077324e-24,6.559130763393316e-24
MEG1843,3.7921522784741205e-24,2.1965850133155688e-24,1.9220071609796224e-24,3.477857270774128e-24,4.938463478093345e-24
MEG1912,6.748428633028059e-24,4.5368179880795184e-24,3.38453754155016e-24,6.018140528478258e-24,5.6093594460046855e-24
MEG1913,4.221403484699083e-24,2.9338526096780733e-24,3.1503153705972246e-24,5.291648497840422e-24,7.426553857768825e-24
MEG1922,8.609789283835613e-24,6.77487228907122e-24,8.143002421975514e-24,1.1541902743024033e-23,1.5265193685470986e-23
MEG1923,9.67168663292608e-24,7.993789094609878e-24,8.54084980120966e-24,8.389804313631636e-24,7.880001706425109e-24
MEG1932,1.0080835532943511e-23,6.864725232520813e-24,5.871424794634939e-24,8.450425709194657e-24,1.0784374526783116e-23
MEG1933,8.856679175889629e-24,5.80477562688964e-24,8.011238331934807e-24,1.8956810752246532e-23,5.179329191358045e-23
MEG1942,5.4980253827059244e-24,4.843927606283551e-24,3.974563786810969e-24,6.1798070248162294e-24,8.321532911751534e-24
MEG1943,7.709596193692968e-24,5.642737424852555e-24,5.7205995560536814e-24,6.55479886717334e-24,9.745922844966685e-24
MEG2012,3.671533543236663e-24,2.4494710753564717e-24,2.83689793453724e-24,4.6028975167409906e-24,7.05309840818678e-24
MEG2013,4.465824313509822e-24,2.8413422015900004e-24,2.692783492343227e-24,4.106102755175863e-24,5.6126095346768145e-24
MEG2022,4.609691564893411e-24,2.894970862057101e-24,4.040878984281825e-24,4.575911564870521e-24,6.824670014082231e-24
