,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1032,5.738568220125297e-25,3.0066993283229066e-25,1.9716909201485279e-25,1.33826621050788e-25,7.403371570318119e-26
MEG1033,7.611939887300894e-25,3.991187193452065e-25,2.789706212359646e-25,1.4134222375586358e-25,6.991761530888988e-26
MEG1042,6.6769010081891815e-25,4.48450290399768e-25,3.2923876810118403e-25,1.8400311897569477e-25,1.124085885525675e-25
MEG1043,5.591413918723826e-25,3.0397321497798987e-25,2.602885535146509e-25,1.7255183737429585e-25,1.0653779635439413e-25
MEG1112,7.610365762260886e-25,5.079794476520797e-25,3.6034556135016827e-25,1.7460856977486438e-25,8.278679472324843e-26
MEG1113,2.9520753979638805e-24,1.3338264346865016e-24,6.40139529058476e-25,3.7719769157047704e-25,1.3957237113667866e-25
MEG1122,7.312085653338573e-25,4.163186309476015e-25,3.2549516262482242e-25,1.8390545270248785e-25,9.879723406680415e-26
MEG1123,1.2018553982243992e-24,6.448693854433988e-25,4.192591174466966e-25,1.86542506634026e-25,7.314819458638033e-26
MEG1132,1.0281038141867985e-24,5.5009549103167115e-25,4.758909577242805e-25,2.499700890005627e-25,9.858604198573912e-26
MEG1133,1.301111801760524e-24,6.867582680945929e-25,5.88985175987479e-25,2.1925414558521e-25,8.26783037529717e-26
MEG1142,8.254795379206039e-25,4.939816131635278e-25,4.189344295940409e-25,1.726817524384894e-25,7.153107860008885e-26
MEG1143,5.149958275868927e-25,2.9367264747539644e-25,2.3749304291398674e-25,1.1475881575361344e-25,6.0236784283116e-26
MEG1212,7.921826565821711e-25,4.272636552613136e-25,2.2975811879707707e-25,1.473890564313254e-25,7.260232693242129e-26
MEG1213,1.2320375507865991e-24,5.9162336874860275e-25,3.3904189112770117e-25,2.281671357413486e-25,1.003805258237823e-25
MEG1222,1.2381863615588023e-24,7.19816238105537e-25,5.19155562843602e-25,2.2030912712972235e-25,9.681002915033688e-26
MEG1223,1.7435580021555367e-24,8.29601387464263e-25,5.552276384610311e-25,2.397282675658675e-25,7.677504211062153e-26
MEG1232,1.0687910736425242e-24,5.6877462016034505e-25,3.390019846422188e-25,1.5576018138701717e-25,6.593100660348117e-26
MEG1233,9.313003533843804e-25,4.330346455790142e-25,3.1885107113692177e-25,1.7242552538033973e-25,8.405891333407586e-26
MEG1242,5.425868604066786e-25,3.111272663345429e-25,2.203146736004319e-25,1.3611106193189093e-25,8.078199129595983e-26
MEG1243,7.424438598979844e-25,3.829879869190849e-25,2.454890503400657e-25,1.6633210201760061e-25,9.916387097656626e-26
MEG1312,1.6266268699263823e-24,9.789109903029664e-25,6.298486690814657e-25,2.633718387142474e-25,8.917497089892879e-26
MEG1313,9.893943540027624e-25,4.935296909951764e-25,4.449867565335078e-25,1.9379900401759426e-25,8.447192434214597e-26
MEG1322,1.580303927548785e-24,7.064706440054877e-25,8.860241944383054e-25,3.870750032897979e-25,1.4565080946167804e-25
MEG1323,2.1924851028982127e-24,1.1438269548464795e-24,8.38102385989856e-25,3.5294554596616997e-25,1.1136854951537245e-25
MEG1332,1.6114061169514798e-24,8.708684059846295e-25,9.787444927377982e-25,3.4610927515925774e-25,1.2070331399014796e-25
MEG1333,2.180862049068151e-24,1.1706060787365594e-24,8.579663844723271e-25,3.8101591509278207e-25,1.1999235997810202e-25
MEG1342,1.9403116014159096e-24,1.1356832674557937e-24,7.716107474248215e-25,2.9529697451514365e-25,7.929891733906709e-26
MEG1343,1.2156276622618867e-24,6.450392244127287e-25,5.78832216105341e-25,2.0394740642935286e-25,6.670817841569561e-26
MEG1412,2.3600669883552863e-24,9.451661261722749e-25,6.625905893946524e-25,3.1502446109581093e-25,8.951308857360922e-26
MEG1413,1.1504167004840776e-24,6.577280094443853e-25,4.224665851238427e-25,2.208244824327598e-25,1.0595191189792967e-25
MEG1422,8.188702858322999e-25,2.857774806408675e-25,2.2141662145304633e-25,1.6504966858377557e-25,9.458893375312104e-26
MEG1423,3.2972826922152037e-24,9.881057691911414e-25,7.555372924442523e-25,3.637995258061385e-25,7.677381891025213e-26
MEG1432,9.752092065638848e-25,3.644216569018516e-25,2.9963611691064086e-25,1.6849951609880466e-25,9.958035417951089e-26
MEG1433,3.59504307260285e-24,1.024389819954908e-24,8.069247587594059e-25,4.477593966117507e-25,9.327956040595524e-26
MEG1442,2.5435390639353728e-24,1.127779546495444e-24,9.476416599376684e-25,3.702666167058325e-25,1.1504881087548914e-25
MEG1443,1.6380193004614544e-24,6.389411449197986e-25,8.225043106057916e-25,3.6150462351679163e-25,1.442992259825039e-25
MEG1512,2.9711479043695776e-24,8.863152542832151e-25,6.973820368308679e-25,2.706072314247268e-25,9.473339239839969e-26
MEG1513,1.779157724012292e-24,5.93505129192181e-25,5.6310078025584325e-25,2.5616706270017863e-25,1.2164544648461216e-25
MEG1522,2.5306228213694535e-24,8.321394290965232e-25,7.892513038422884e-25,2.7168683099019133e-25,9.291067294745662e-26
MEG1523,1.2306313896215385e-24,5.930515140401235e-25,4.278183555124815e-25,2.51676433983058e-25,1.1133233358501657e-25
MEG1532,1.1151607531778618e-24,3.918859085135181e-25,3.5663725637727416e-25,2.3480610121410537e-25,1.1584117147194226e-25
MEG1533,3.4491598374740495e-24,1.0820545951727204e-24,7.868209129680032e-25,5.1273195340253785e-25,1.1094229542220907e-25
MEG1542,7.231169330218889e-25,3.2777719591553737e-25,2.7872862133098067e-25,1.689248871671114e-25,7.774782116723055e-26
MEG1543,3.5513463610045636e-24,1.0149332236008375e-24,7.8527974867270475e-25,5.105062362685933e-25,9.627950200896541e-26
MEG1612,1.1600263342889106e-24,5.853752227793043e-25,5.230629774253403e-25,2.1501829712450746e-25,7.057133648442942e-26
MEG1613,1.959229643736049e-24,5.547938099810514e-25,5.820168939906175e-25,2.245133342257336e-25,8.514942224480733e-26
MEG1622,1.5772108604159954e-24,6.172208012842351e-25,4.612821519750707e-25,2.5789578739140783e-25,7.827549418104256e-26
MEG1623,1.0340972188133826e-24,4.799557801916926e-25,5.208837894962307e-25,2.0176846988126805e-25,8.678475997450702e-26
MEG1632,1.6055766037579826e-24,6.604055626986565e-25,4.741920964405804e-25,2.5802051134503517e-25,8.026458961932516e-26
MEG1633,9.111621860004742e-25,4.661044656446215e-25,4.953827489114395e-25,1.8380618152929575e-25,7.30887587291351e-26
MEG1642,1.0903772807015571e-24,6.336789535688394e-25,5.367551277656061e-25,2.3424171183201075e-25,8.341042956213259e-26
