,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2023,5.9782638824835355e-25,3.0272324804058894e-25,3.1444568262639063e-25,1.13505268833123e-25,4.360422124336253e-26
MEG2032,8.690687882021049e-25,4.670338549111546e-25,7.035977673497475e-25,1.8456775875753216e-25,5.432222966608638e-26
MEG2033,1.2892670490063189e-24,4.697836684122785e-25,1.2588997464913668e-24,1.914596629775672e-25,4.930894261064909e-26
MEG2042,8.127681459764946e-25,3.974035103086528e-25,5.028045433373077e-25,1.7027263357671218e-25,5.065024715924276e-26
MEG2043,9.437730525353293e-25,3.9035342134887133e-25,8.910644201698403e-25,1.840005940557997e-25,5.082158617154345e-26
MEG2112,1.5574369722273586e-24,6.354889121035217e-25,1.4759146904407345e-24,3.12089752498722e-25,7.613278600093409e-26
MEG2113,1.1866067634569558e-24,4.831056668841882e-25,1.1704776175029931e-24,2.7280638447927734e-25,9.161436707232384e-26
MEG2122,1.9281861079949144e-24,7.869557215720475e-25,7.85744026648265e-25,3.0467889722855764e-25,9.707422556625283e-26
MEG2123,1.5832306297054705e-24,6.77028758660503e-25,1.188438859636549e-24,3.592171195748657e-25,1.3075397177556567e-25
MEG2132,9.466416957981787e-25,5.242750402480482e-25,7.587157075326295e-25,4.642380593478294e-25,1.6294819351019293e-25
MEG2133,1.923282248681507e-24,6.930067070236052e-25,8.401665056499057e-25,4.916122525434074e-25,3.335127278265942e-25
MEG2142,1.3068840265327479e-24,6.4211639041763335e-25,1.112856456916867e-24,7.425669326740977e-25,4.591413718529042e-25
MEG2143,1.5822981740577835e-24,4.673688645825814e-25,5.0550869874165145e-25,3.271734505828644e-25,1.9198903954748512e-25
MEG2212,8.798137442431117e-25,3.6108607729299315e-25,3.9538032433426477e-25,1.6175338852668937e-25,6.75339481289714e-26
MEG2213,3.6036018742756913e-25,1.8689247268783825e-25,2.0023211134877829e-25,8.367834308445275e-26,4.139829098923173e-26
MEG2222,5.581646287292221e-25,2.6773531312991983e-25,2.964948658223411e-25,9.378118370478693e-26,3.30225799560443e-26
MEG2223,7.0671055859460515e-25,3.04069665788419e-25,3.7547594058887943e-25,1.246859541116599e-25,4.3877179385997027e-26
MEG2232,4.860938129600009e-25,2.17154518935965e-25,3.3497572929687504e-25,9.673736771663343e-26,3.266193662086279e-26
